"TIME","GEO","SEX","UNIT","Value","Flag and Footnotes"
"2020W03","AT341","Insgesamt","Anzahl","16","p"
"2020W03","AT341","Männer","Anzahl","10","p"
"2020W03","AT341","Frauen","Anzahl","6","p"
"2020W03","AT342","Insgesamt","Anzahl","39","p"
"2020W03","AT342","Männer","Anzahl","16","p"
"2020W03","AT342","Frauen","Anzahl","23","p"
"2020W04","AT111","Insgesamt","Anzahl","12","p"
"2020W04","AT111","Männer","Anzahl","7","p"
"2020W04","AT111","Frauen","Anzahl","5","p"
"2020W04","AT112","Insgesamt","Anzahl","33","p"
"2020W04","AT112","Männer","Anzahl","16","p"
"2020W04","AT112","Frauen","Anzahl","17","p"
"2020W04","AT113","Insgesamt","Anzahl","29","p"
"2020W04","AT113","Männer","Anzahl","13","p"
"2020W04","AT113","Frauen","Anzahl","16","p"
"2020W04","AT121","Insgesamt","Anzahl","59","p"
"2020W04","AT121","Männer","Anzahl","28","p"
"2020W04","AT121","Frauen","Anzahl","31","p"
"2020W04","AT122","Insgesamt","Anzahl","69","p"
"2020W04","AT122","Männer","Anzahl","33","p"
"2020W04","AT122","Frauen","Anzahl","36","p"
"2020W04","AT123","Insgesamt","Anzahl","29","p"
"2020W04","AT123","Männer","Anzahl","15","p"
"2020W04","AT123","Frauen","Anzahl","14","p"
"2020W04","AT124","Insgesamt","Anzahl","49","p"
"2020W04","AT124","Männer","Anzahl","26","p"
"2020W04","AT124","Frauen","Anzahl","23","p"
"2020W04","AT125","Insgesamt","Anzahl","27","p"
"2020W04","AT125","Männer","Anzahl","16","p"
"2020W04","AT125","Frauen","Anzahl","11","p"
"2020W04","AT126","Insgesamt","Anzahl","71","p"
"2020W04","AT126","Männer","Anzahl","32","p"
"2020W04","AT126","Frauen","Anzahl","39","p"
"2020W04","AT127","Insgesamt","Anzahl","80","p"
"2020W04","AT127","Männer","Anzahl","36","p"
"2020W04","AT127","Frauen","Anzahl","44","p"
"2020W04","AT130","Insgesamt","Anzahl","376","p"
"2020W04","AT130","Männer","Anzahl","183","p"
"2020W04","AT130","Frauen","Anzahl","193","p"
"2020W04","AT211","Insgesamt","Anzahl","64","p"
"2020W04","AT211","Männer","Anzahl","31","p"
"2020W04","AT211","Frauen","Anzahl","33","p"
